ant_name	ant_chr	ant_pos
#tmp	chr1	13051312
C	chr1	12864419
Slc	chr1	12990354
LB	chr1	13051264
SE1	chr1	13059869
SE2	chr1	13074694
SE3	chr1	13085019
SE4	chr1	13094869
SE5	chr1	13104169
3'Prdm	chr1	13113890
Prdm	chr1	13127163
RB	chr1	13134526
b13.046	chr1	13046137
b13.048	chr1	13047862
b13.050	chr1	13049587
b13.051	chr1	13051312
b13.053	chr1	13053037
b13.055	chr1	13054762
b13.056	chr1	13056487
b13.058	chr1	13058212
b13.060	chr1	13059937
b13.062	chr1	13061662
b13.063	chr1	13063387
b13.065	chr1	13065112
b13.067	chr1	13066837
b13.069	chr1	13068562
b13.070	chr1	13070287
b13.072	chr1	13072012
b13.074	chr1	13073737
b13.075	chr1	13075462
b13.077	chr1	13077187
b13.079	chr1	13078912
b13.081	chr1	13080637
b13.082	chr1	13082362
b13.084	chr1	13084087
b13.086	chr1	13085812
b13.088	chr1	13087537
b13.089	chr1	13089262
b13.091	chr1	13090987
b13.093	chr1	13092712
b13.094	chr1	13094437
b13.096	chr1	13096162
b13.098	chr1	13097887
b13.100	chr1	13099612
b13.101	chr1	13101337
b13.103	chr1	13103062
b13.105	chr1	13104787
b13.107	chr1	13106512
b13.108	chr1	13108237
b13.110	chr1	13109962
b13.112	chr1	13111687
b13.113	chr1	13113412
b13.115	chr1	13115137
b13.117	chr1	13116862
b13.119	chr1	13118587
b13.120	chr1	13120312
b13.122	chr1	13122037
b13.124	chr1	13123762
b13.125	chr1	13125487
b13.127	chr1	13127212
b13.129	chr1	13128937
b13.131	chr1	13130662
b13.132	chr1	13132387
b13.134	chr1	13134112
b13.136	chr1	13135837
b13.138	chr1	13137562
